ATRACADOS,ATRACADOS,ATRACADOS,ATRACADOS,ATRACADOS,ATRACADOS,ATRACADOS,ATRACADOS,ATRACADOS,ATRACADOS,ATRACADOS,ATRACADOS,ATRACADOS,ATRACADOS,ATRACADOS,ATRACADOS,ATRACADOS,ATRACADOS,ATRACADOS,ATRACADOS,ATRACADOS,ATRACADOS
Unnamed: 0_level_1,Programação,DUV,Berço,Embarcação,IMO,LOA,DWT,Bordo,Sentido,Agência,Operador,Mercadoria,Atracação,Chegada,Janela Operacional,Prancha (t/dia),Tons/Dia,Previsto,Realizado,Saldo Operador,Saldo Total
1,77565,446402025,215,GREEN SANTOS,9996018,22500,"64.996,00",BB,Imp,BPA,TCP (COT),CONTÊINERES (CONTENTORES) INCL,01/10/2025 00:50,30/09/2025 10:30,,0000,"0,000 Tons.","799,000 Tons.","0,000 Tons.","799,000 Tons.","799,000 Tons."
2,77678,445562025,214,YM NAVIGATOR,9518191,22899,"81.955,00",BB,Exp,ALPHAMAR,TIBAGI,SOJA,01/10/2025 14:50,28/09/2025 16:36,,,"0,000 Tons.","70.000,000 Tons.",Tons.,Tons.,"0,000 Tons."
3,77645,439732025,213,FLAG METTE,9727974,22900,"81.200,00",BB,Exp,FERTIMPORT,ALPHAMAR PORT SERVICES,FARELO DE SOJA,30/09/2025 08:10,28/09/2025 09:20,30/09/2025 08:10 - 03/10/2025 05:50,"30.000,000","11.443,000 Tons.","64.165,000 Tons.","13.738,000 Tons.","50.427,020 Tons.","50.427,020 Tons."
4,77604,436532025,144,SAKURA BELLE,9568500,17000,"26.961,00",BE,Imp,BPA,CATTALINI,METANOL,30/09/2025 10:10,27/09/2025 07:30,30/09/2025 10:10 - 01/10/2025 19:00,"15.000,000","2.843,000 Tons.","17.002,000 Tons.","5.665,000 Tons.","11.337,000 Tons.","11.337,000 Tons."
5,77312,382312025,216,PARANAGUA EXPRESS,9786724,33000,"132.430,70",BB,Imp/Exp,ROCHAMAR,TCP (AS2),CONTÊINERES (CONTENTORES) INCL,30/09/2025 12:00,27/09/2025 04:36,,0,0 Movs.,1.050 Movs.,0 Movs.,1.050 Movs.,1.050 Movs.
6,77587,431642025,212,SDM TAICANG,9949223,21000,"64.388,00",BB,Exp,ALPHAMAR,TIBAGI,FARELO DE SOJA,29/09/2025 06:25,24/09/2025 07:06,29/09/2025 06:25 - 02/10/2025 08:38,"30.000,000","12.184,000 Tons.","62.700,000 Tons.","47.846,000 Tons.","14.853,580 Tons.","14.853,580 Tons."
7,77490,405542025,200,FU RONG FENG,9523184,22500,"75.444,00",BB,Imp,WORLD SHIPPING PARANA,FOSPAR,SULFATO DE AMONIO,26/09/2025 05:25,15/09/2025 09:00,26/09/2025 05:25 - 07/10/2025 17:49,"6.000,000","8.098,000 Tons.","63.000,000 Tons.","38.790,000 Tons.","24.209,730 Tons.","24.209,730 Tons."
8,77566,417502025,205,NJ CALLISTO,9497452,17750,"31.796,00",BB,Exp,MARCON,MARCON,OUTS.ACUCARES,23/09/2025 19:55,06/09/2025 16:00,23/09/2025 19:55 - 03/10/2025 18:13,"4.000,000","1.658,000 Tons.","30.098,000 Tons.","20.450,000 Tons.","9.648,120 Tons.","9.648,120 Tons."
9,77011,330842025,209,NAVIOS URANUS,9852884,22899,"81.821,00",BB,Imp,ROCHAMAR,FORTESOLO,SULFATO DE AMONIO,26/09/2025 16:10,24/08/2025 17:00,26/09/2025 16:10 - 07/10/2025 22:35,286820,"0,000 Tons.","2.040,000 Tons.","2.009,000 Tons.","30,760 Tons.","24.611,480 Tons."
9,77011,330842025,209,NAVIOS URANUS,9852884,22899,"81.821,00",BB,Imp,ROCHAMAR,ROCHA TERMINAIS PORTUARIOS E LOGISTICA S.A.,SULFATO DE AMONIO,26/09/2025 16:10,24/08/2025 17:00,26/09/2025 16:10 - 05/10/2025 06:11,"9.713,170","5.566,000 Tons.","69.063,000 Tons.","44.482,000 Tons.","24.580,720 Tons.","24.611,480 Tons."
10,77112,363272025,202,PISTI,9456367,18994,"56.898,00",BE,Imp,LBH BRASIL,HARBOR,MAP,01/10/2025 05:40,18/08/2025 20:30,01/10/2025 05:40 - 07/10/2025 03:29,"7.500,000","0,000 Tons.","43.953,000 Tons.","1.877,000 Tons.","42.075,900 Tons.","42.075,900 Tons."
11,77249,374552025,201,VENTURE,9714721,19998,"61.272,00",BE,Imp,WORLD SHIPPING PARANA,HARBOR,CLORETOS DE POTASSIO,30/09/2025 03:47,18/08/2025 09:48,30/09/2025 03:47 - 04/10/2025 15:20,"7.500,000","4.840,000 Tons.","29.284,000 Tons.","7.383,000 Tons.","21.901,040 Tons.","21.901,040 Tons."
12,77069,339722025,211,TIAN MU SHAN,9735799,19990,"63.437,00",BE,Imp,ROCHAMAR,ROCHA TERMINAIS PORTUARIOS E LOGISTICA S.A.,UREIA,28/09/2025 02:40,13/08/2025 18:00,28/09/2025 02:40 - 04/10/2025 00:02,"3.157,141","1.296,000 Tons.","12.750,000 Tons.","12.761,000 Tons.","-11,150 Tons.","2.933,390 Tons."
12,77069,339722025,211,TIAN MU SHAN,9735799,19990,"63.437,00",BE,Imp,ROCHAMAR,FORTESOLO,UREIA,28/09/2025 02:40,13/08/2025 18:00,28/09/2025 02:40 - 02/10/2025 22:05,"3.342,853","1.744,000 Tons.","13.500,000 Tons.","10.555,000 Tons.","2.944,540 Tons.","2.933,390 Tons."
13,77180 - REA,359942025,208,ZURICH,9668893,22900,"81.922,00",BB,Imp,MASTER OPERAÇÕES,HARBOR,FERTILIZ.MINER.QUIM.C/NITROGEN,27/09/2025 23:20,06/08/2025 22:30,27/09/2025 23:20 - 03/10/2025 14:12,"8.000,000","1.674,000 Tons.","66.240,000 Tons.","25.752,000 Tons.","40.487,860 Tons.","40.487,860 Tons."
