Navio Ship,Cheg/Arrival d/m/y,Operaç Operat,Mercadoria Goods,Peso Weight
RÔMULO ALMEIDA,17/09/2025 17:50:00,EMB,OLEO DIESEL,45000
EUROTRADER,27/09/2025 12:30:00,DESC,GASOLINA COMUM,14719
FLUMAR MACEIO (REB),29/09/2025 06:00:00,DESC,GRAN.LIQUIDO NAO ESPECIF,7200
CASTILLO DE TEBRA (REB),29/09/2025 15:50:00,EMB DESC,ETHANOL PRODUTOS QUIMICOS,2268 5480
ALESSANDRO VOLTA,01/10/2025,DESC,GAS LIQUEFEITO,4000
ALTAIR,01/10/2025,DESC,OLEO LUBRIFICANTE,1773
BUENA CONFIANZA,01/10/2025,DESC,GAS LIQUEFEITO,5000
CLEAN JUSTICE,01/10/2025,EMB,OLEO COMBUSTIVEL,26000
ELANDRA STAR,01/10/2025,EMB,OLEO DIESEL,45000
JAKARTA,01/10/2025,EMB,OLEO COMBUSTIVEL,25000
LUIGI GALVANI,01/10/2025,DESC,GAS LIQUEFEITO,18000
OLAVO BILAC,01/10/2025,EMB,OLEO COMBUSTIVEL,32000
SAKURA BELLE,01/10/2025,DESC,GRAN.LIQUIDO NAO ESPECIF,8000
YARA AESA,01/10/2025,DESC,GRAN.LIQUIDO NAO ESPECIF,17500
TORM GENESIS,01/10/2025 06:00:00,EMB,OLEO COMBUSTIVEL,66800
MAERSK KATALIN,02/10/2025,EMB,GASOLINA COMUM,30000
BOW TUNGSTEN,02/10/2025 06:00:00,DESC,GRAN.LIQUIDO NAO ESPECIF,2000
GAZ SYNERGY,03/10/2025,DESC,GAS LIQUEFEITO,9000
PS SINGAPORE,03/10/2025,EMB,OLEO COMBUSTIVEL,30000
HONESTY,04/10/2025,EMB,GASOLINA COMUM,30000
ORANGE BLOSSOM 2,06/10/2025,EMB,SUCOS CITRICOS A GRANEL,17000
BOW TITANIUM,06/10/2025 07:00:00,EMB DESC,GRAN.LIQUIDO NAO ESPECIF GRAN.LIQUIDO NAO ESPECIF,300 7400
MTM NEWPORT,07/10/2025 08:00:00,DESC,OLEO VEGETAL,5804
LOWLANDS ENGEL,25/08/2025 20:36:00,DESC,TRIGO A GRANEL,33000
MARCOS DIAS,07/10/2025 08:00:00,DESC,TRIGO A GRANEL,33000
ALPHARD,01/10/2025,EMB,OUTROS,1
CENTAURUS,01/10/2025,EMB,OUTROS,1000
HARIS,01/10/2025,EMB,OUTROS,10
LYRA,01/10/2025,EMB,OUTROS,1
SAHY,01/10/2025,EMB,OUTROS,1
SAVEIROS PELICANO,01/10/2025,EMB,OUTROS,1000
WS ARIES,01/10/2025,EMB,OUTROS,1
SAGA FRAM,05/10/2025,EMB,PAPEL E CELULOSE,12000
CAPE SPENCER,11/08/2025 19:42:00,EMB,CONSUMO DE BORDO,30
CBO ANITA,18/09/2025 12:30:00,EMB,CARGA GERAL,1
ECOMAR GUYENNE,19/09/2025 10:24:00,DESC,OLEO DIESEL,41325
MRC BELIZ (EX. NCC SUDAIR,29/09/2025 04:48:00,DESC,SODA CAUSTICA,18000
BOCHEM HOUSTON,30/09/2025 20:00:00,EMB,GRAN.LIQUIDO NAO ESPECIF,5000
CBO ANITA,01/10/2025,EMB,CARGA GERAL,1
CEDAR ARROW,01/10/2025,EMB,PAPEL E CELULOSE,24000
CNL AMETISTA,01/10/2025,EMB,CARGA GERAL,1
COSCO SHIPPING CHANG QING,01/10/2025,EMB,PAPEL E CELULOSE,37
COSCO SHIPPING PENG BO,01/10/2025,EMB,PAPEL E CELULOSE,58000
COSCO SHIPPING PENG CHENG,01/10/2025,EMB,PAPEL E CELULOSE,58000
GREEN OSHIMA,01/10/2025,EMB,PAPEL E CELULOSE,65000
M AVEIRO,01/10/2025,EMB,REPAROS,27
ORANGE WAVE,01/10/2025,EMB,SUCOS CITRICOS A GRANEL,10000
SAIPEM FDS,01/10/2025,EMB,CARGA GERAL,1000
BOCHEM ROTTERDAM,01/10/2025 07:00:00,DESC,GRAN.LIQUIDO NAO ESPECIF,6246
ORANGE SKY,04/10/2025 02:00:00,EMB,SUCOS CITRICOS A GRANEL,20700
COSCO SHIPPING XING WANG,04/10/2025 06:00:00,EMB,PAPEL E CELULOSE,31000
COSCO SHIPPING WISDOM,06/10/2025 07:00:00,EMB,PAPEL E CELULOSE,24828
SAIPEM FDS,25/10/2025,EMB,CARGA GERAL,1
CBO ANITA,30/10/2025,EMB,CARGA GERAL,1
MYRA BAY,17/09/2025 02:48:00,EMB,SOJA A GRANEL,55000
UNION MARINER,21/09/2025 16:00:00,EMB,MILHO A GRANEL,65000
WADI ALMOLOUK,22/09/2025 07:30:00,EMB,PELLETS A GRANEL,67500
RB LISA,27/09/2025 15:00:00,EMB,MILHO A GRANEL,70000
GRAND STAR,28/09/2025 14:54:00,EMB,SOJA A GRANEL,68000
VELA,30/09/2025 05:24:00,EMB,SOJA A GRANEL,68000
MATER,30/09/2025 06:24:00,EMB,PELLETS A GRANEL,63500
GOLDEN FELLOW,30/09/2025 10:30:00,EMB,SOJA A GRANEL,65000
XIN HAI TONG 803,30/09/2025 14:12:00,EMB,PELLETS A GRANEL,60000
LIA M,30/09/2025 15:36:00,EMB,PELLETS A GRANEL,64346
LOTUS BLOSSOM,30/09/2025 16:55:00,EMB,MILHO A GRANEL,68700
MAGIC ARIEL,30/09/2025 20:12:00,EMB,SOJA A GRANEL,68000
DELIGHT DIVA,01/10/2025,EMB,MILHO A GRANEL,67500
GASTONE,01/10/2025,EMB,SOJA A GRANEL,68600
SCARLET STORK,01/10/2025,EMB,MILHO A GRANEL,65000
WINNER,01/10/2025,EMB,MILHO A GRANEL,65000
NAVIOS URANUS,01/10/2025 08:00:00,EMB,MILHO A GRANEL,67500
PACIFIC CHERRY,01/10/2025 08:00:00,EMB,MILHO A GRANEL,62500
INGENUITY,02/10/2025 08:00:00,EMB,MILHO A GRANEL,65000
AGIOS NIKOLAS,03/10/2025 08:00:00,EMB,MILHO A GRANEL,70324
DRAFTZILLA,03/10/2025 08:00:00,EMB,MILHO A GRANEL,63113
PROTECTOR,03/10/2025 08:00:00,EMB,PELLETS A GRANEL,70500
OMICRON NIKOS,03/10/2025 09:00:00,EMB,MILHO A GRANEL,63600
MDL KAMRAN,04/10/2025,EMB,MILHO A GRANEL,70000
DOKOS,04/10/2025 08:00:00,EMB,MILHO A GRANEL,71030
HYDRUS,04/10/2025 10:00:00,EMB,MILHO A GRANEL,68100
PENDULUM,05/10/2025 08:00:00,EMB,MILHO A GRANEL,68000
PRABHU DAS,05/10/2025 08:00:00,EMB,MILHO A GRANEL,65000
SPRING LOTUS,05/10/2025 08:00:00,EMB,PELLETS A GRANEL,52080
HUDSON TRADER,06/10/2025 05:00:00,EMB,SOJA A GRANEL,70629
SSI MAJESTY,06/10/2025 08:00:00,EMB,MILHO A GRANEL,50000
OMICRON PEARL,06/10/2025 10:00:00,EMB,MILHO A GRANEL,66000
TOMAHAWK,06/10/2025 10:00:00,EMB,PELLETS A GRANEL,66000
YANGZE 15,06/10/2025 10:00:00,EMB,SOJA A GRANEL,69400
AUDACITY,07/10/2025 08:00:00,EMB,MILHO A GRANEL,65000
KONKAR ASTERI,13/10/2025 07:00:00,EMB,SOJA A GRANEL,68000
DELIGHT DIVA,04/09/2025 08:00:00,DESC,FERTILIZANTES,77390
SHANDONG XIN ZE,14/09/2025 17:00:00,DESC,FERTILIZANTES,76895
LYRA M,16/09/2025 05:20:00,DESC,FERTILIZANTES,42130
ANNA DOROTHEA,18/09/2025 11:50:00,DESC,FERTILIZANTES,10000
SIIRT,22/09/2025 17:00:00,DESC,FERTILIZANTES,55062
DSI PHOENIX,24/09/2025 19:00:00,DESC,FERTILIZANTES,49499
SOZON,25/09/2025 18:30:00,DESC,FERTILIZANTES,22650
IONIAN SPIRIT,26/09/2025 14:24:00,DESC,FERTILIZANTES,33000
SAGA JOURNEY,27/09/2025 19:00:00,DESC,FERTILIZANTES,11238
SSI VIGILANT,28/09/2025 03:20:00,DESC,FERTILIZANTES,35775
AKSON SANDRA,28/09/2025 04:45:00,DESC,FERTILIZANTES,35000
REGINA S,29/09/2025 06:00:00,DESC,FERTILIZANTES,32974
THERMAIKOS,01/10/2025 00:45:00,DESC,FERTILIZANTES,53709
PL FAITH,02/10/2025,DESC,FERTILIZANTES,25511
ASTORIA,02/10/2025 07:00:00,DESC,FERTILIZANTES,20900
ALEXANDROS P.,03/10/2025,DESC,FERTILIZANTES,31800
ARETI,05/10/2025 01:00:00,DESC,SAL A GRANEL,51600
BALTIC ACE,05/10/2025 08:00:00,DESC,ENXOFRE A GRANEL,15600
AGIA TRIADA,05/10/2025 10:00:00,DESC,FERTILIZANTES,30160
LMZ PHOEBE,05/10/2025 13:00:00,DESC,FERTILIZANTES,30406
CATHERINE,06/10/2025 17:00:00,DESC,ENXOFRE A GRANEL,38500
MAVERICK,07/10/2025,DESC,FERTILIZANTES,6282
EUCALYPTUS,07/10/2025 10:00:00,DESC,FERTILIZANTES,33000
SERENITY DIVA,07/10/2025 12:00:00,DESC,FERTILIZANTES,83340
IONIC PATRIS,11/10/2025 02:00:00,DESC,FERTILIZANTES,65000
OSLO VENTURE,19/09/2025 18:00:00,EMB,ACUCAR A GRANEL,35000
BLUE OPAL,22/09/2025 10:00:00,EMB,ACUCAR A GRANEL,75000
CETUS HUMPBACK,27/09/2025 14:24:00,EMB,ACUCAR A GRANEL,41000
ARWEN GEMINI,28/09/2025 12:30:00,EMB,ACUCAR A GRANEL,76020
THERESA GLORY,29/09/2025 14:00:00,EMB,ACUCAR A GRANEL,60000
STAR FAIRFIELD,29/09/2025 15:48:00,DESC,FERTILIZANTES,16500
KANSU,01/10/2025,EMB,ACUCAR A GRANEL,32000
SANTA ANGELINA,01/10/2025,EMB,ACUCAR A GRANEL,47250
TAHO EUDAIMONIA,02/10/2025 07:00:00,EMB,ACUCAR A GRANEL,80940
BBG NANNING,02/10/2025 10:00:00,EMB,ACUCAR A GRANEL,75000
CL SHAOYANG,03/10/2025 07:00:00,EMB,ACUCAR A GRANEL,60000
GENEVAN TRADER,04/10/2025 07:00:00,EMB,ACUCAR A GRANEL,75000
DESERT MOON,04/10/2025 14:00:00,EMB,ACUCAR A GRANEL,55000
SOPHOCLES GRAECIA,08/10/2025 05:00:00,EMB,ACUCAR A GRANEL,75000
GRANDE AMBURGO,01/10/2025,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,3600 1800
INTEGRADOR,01/10/2025,EMB,VEICULO,600
GRANDE TEMA,01/10/2025 01:00:00,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,5400 5400
GOODWOOD,02/10/2025,EMB,VEICULO,9800
FLORIDA HIGHWAY,03/10/2025,EMB,VEICULO,9800
MORNING CALYPSO,03/10/2025,EMB DESC,VEICULO VEICULO,185 200
BRASILIA HIGHWAY,05/10/2025,EMB,VEICULO,9800
GRANDE AMBURGO,05/10/2025 01:01:00,EMB,CONTEINERES CHEIOS CONTEINERES CHEIOS,3600
MANON,05/10/2025 04:00:00,EMB,VEICULO,3885
LIBERTY,17/10/2025,EMB DESC,VEICULO VEICULO,1987 758
DOVER HIGHWAY,27/10/2025,EMB,VEICULO,9800
SKANDI ACHIEVER (REB),02/09/2025 22:30:00,EMB,CARGA GERAL,1
PARCEL DOS MEROS (REB),24/09/2025 07:40:00,EMB,CARGA GERAL,1
SEA1 ATLAS,24/09/2025 12:30:00,EMB,CARGA GERAL,1
CBO FLAMENGO,01/10/2025,EMB,CARGA GERAL,1000
CBO FLAMENGO,01/10/2025,EMB,CARGA GERAL,1
CBO FLAMENGO,01/10/2025,EMB,CARGA GERAL,1000
HOS REMINGTON,01/10/2025,EMB,CARGA GERAL,1
HOS REMINGTON,01/10/2025,EMB,CARGA GERAL,1
HOS TAURUS (REB),01/10/2025,EMB,CARGA GERAL,1
HOS TAURUS (REB),01/10/2025,EMB,GRAN.LIQUIDO NAO ESPECIF,1
JSD6000,01/10/2025,EMB,CARGA GERAL,1000
JSD6000,01/10/2025,EMB,CARGA GERAL,1
MANDRIÃO (REB),01/10/2025,EMB,CARGA GERAL,1
MANDRIÃO (REB),01/10/2025,EMB,CARGA GERAL,1
NORMAND MAXIMUS,01/10/2025,EMB,CARGA GERAL,1
PARCEL DOS MEROS (REB),03/10/2025,EMB,CARGA GERAL,1
HOS TAURUS (REB),20/10/2025,EMB,CARGA GERAL,1
SEA1 ATLAS,20/10/2025,EMB,CARGA GERAL,1
SKANDI ACHIEVER (REB),01/11/2025,EMB,CARGA GERAL,1
PINE ARROW,01/10/2025,EMB,PAPEL E CELULOSE,4000
COSCO SHIPPING RUYI,01/10/2025 03:30:00,EMB,PAPEL E CELULOSE,45800
COSCO SHIPPING RUYI,01/10/2025 06:00:00,EMB,PAPEL E CELULOSE,45800
CSPC ARIES,04/10/2025,EMB,PAPEL E CELULOSE,72000
RAVEN ARROW,04/10/2025 08:00:00,DESC,CARGA GERAL,3617
BBC NORFOLK,05/10/2025 06:00:00,DESC,PRODUTOS SIDERURGICOS,3152
RONNIE,05/10/2025 08:00:00,DESC,CARGA GERAL,210
ZHONG YUAN HAI YUN CHUANG,13/10/2025,EMB,PAPEL E CELULOSE,58000
AS CAROLINA,25/07/2025 10:30:00,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800
CMA CGM BELEM,26/08/2025 22:30:00,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800
JPO PISCES,13/09/2025 05:30:00,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800
MSC SOFIA PAZ,26/09/2025 15:00:00,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,27000 1800
C HAMBURG,27/09/2025 10:30:00,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,27000 1800
AS SABINE,29/09/2025 18:00:00,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800
MSC ATHENS,30/09/2025 09:00:00,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 18000
MSC NERISSA V,30/09/2025 11:24:00,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,12600 1800
MSC AGADIR,30/09/2025 15:43:00,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,18000 1800
MSC AMALFI,30/09/2025 16:06:00,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 12600
CMA CGM AMAZONIA,01/10/2025,EMB DESC,CONTEINERES CHEIOS CONTEINERES CHEIOS,1800 1800
